variety_id,variety_slug,category,label,url,type
41,hungarian-hot-wax,pepper,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169394/nutrients,usda
42,sweet-italian-pepper-marconi-rosso,pepper,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169394/nutrients,usda
43,carolina-reaper,pepper,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169394/nutrients,usda
44,padron-pepper,pepper,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169394/nutrients,usda
45,purple-beauty-bell-pepper,pepper,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2258588/nutrients,usda
46,black-seeded-simpson,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/lettuce/leaf-lettuce/black-seeded-simpson-lettuce-seed-425N.html,breeder
46,black-seeded-simpson,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
47,buttercrunch,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/lettuce/bibb-lettuce/buttercrunch-organic-lettuce-seed-435G.html,breeder
47,buttercrunch,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
48,romaine-cos,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169247/nutrients,usda
49,red-sails,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/lettuce/leaf-lettuce/red-sails-organic-lettuce-seed-431G.html,breeder
49,red-sails,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
50,iceberg,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
51,great-lakes,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
52,oak-leaf,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
53,little-gem,lettuce,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/lettuce/bibb-lettuce/little-gem-organic-lettuce-seed-4120G.html,breeder
53,little-gem,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
54,salanova-green-crispy,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
55,red-velvet,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
56,green-leaf,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
57,batavia,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
58,bibb,lettuce,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346388/nutrients,usda
